validation loss: 10.9499
step   54 | loss: 7.028213| lr 5.9999e-04  |norm: 0.4331 | dt: 6201.90ms| tok/sec 84536.69
step   55 | loss: 7.029165| lr 5.9999e-04  |norm: 0.4471 | dt: 6218.99ms| tok/sec 84304.33
step   56 | loss: 6.990638| lr 5.9999e-04  |norm: 0.4174 | dt: 6161.46ms| tok/sec 85091.50
step   57 | loss: 7.004451| lr 5.9999e-04  |norm: 0.4197 | dt: 6116.72ms| tok/sec 85713.97
step   58 | loss: 6.953051| lr 5.9999e-04  |norm: 0.4222 | dt: 6170.72ms| tok/sec 84963.85
step   59 | loss: 6.925191| lr 5.9999e-04  |norm: 0.4355 | dt: 6180.72ms| tok/sec 84826.31
step   60 | loss: 6.936712| lr 5.9999e-04  |norm: 0.4351 | dt: 6160.17ms| tok/sec 85109.36
step   61 | loss: 6.974305| lr 5.9999e-04  |norm: 0.7113 | dt: 6184.90ms| tok/sec 84769.01
step   62 | loss: 6.887335| lr 5.9999e-04  |norm: 0.5946 | dt: 6155.30ms| tok/sec 85176.64
step   63 | loss: 6.865925| lr 5.9999e-04  |norm: 0.3834 | dt: 6193.05ms| tok/sec 84657.51
step   64 | loss: 6.858710| lr 5.9999e-04  |norm: 0.4750 | dt: 6221.99ms| tok/sec 84263.71
step   65 | loss: 6.904464| lr 5.9999e-04  |norm: 0.3512 | dt: 6168.26ms| tok/sec 84997.68
step   66 | loss: 6.828027| lr 5.9999e-04  |norm: 0.4102 | dt: 6190.89ms| tok/sec 84687.05
step   67 | loss: 6.861507| lr 5.9999e-04  |norm: 0.4065 | dt: 6112.15ms| tok/sec 85778.03
step   68 | loss: 6.843615| lr 5.9999e-04  |norm: 0.3064 | dt: 6121.06ms| tok/sec 85653.15
step   69 | loss: 6.758862| lr 5.9998e-04  |norm: 0.5433 | dt: 6294.30ms| tok/sec 83295.74
step   70 | loss: 6.743408| lr 5.9998e-04  |norm: 0.5152 | dt: 6273.37ms| tok/sec 83573.63
step   71 | loss: 6.772690| lr 5.9998e-04  |norm: 0.2547 | dt: 6090.59ms| tok/sec 86081.67
step   72 | loss: 6.742584| lr 5.9998e-04  |norm: 0.4434 | dt: 6081.43ms| tok/sec 86211.23
step   73 | loss: 6.739762| lr 5.9998e-04  |norm: 0.4364 | dt: 6016.49ms| tok/sec 87141.80
step   74 | loss: 6.668984| lr 5.9998e-04  |norm: 0.3955 | dt: 6107.02ms| tok/sec 85850.10
step   75 | loss: 6.734318| lr 5.9998e-04  |norm: 0.6073 | dt: 6006.29ms| tok/sec 87289.88
step   76 | loss: 6.681499| lr 5.9998e-04  |norm: 0.6753 | dt: 6263.72ms| tok/sec 83702.30
step   77 | loss: 6.712611| lr 5.9998e-04  |norm: 0.5655 | dt: 6281.66ms| tok/sec 83463.32
step   78 | loss: 6.696868| lr 5.9998e-04  |norm: 0.6166 | dt: 6048.54ms| tok/sec 86680.11
step   79 | loss: 6.637305| lr 5.9998e-04  |norm: 0.4323 | dt: 6114.13ms| tok/sec 85750.22
step   80 | loss: 6.656224| lr 5.9998e-04  |norm: 0.6301 | dt: 6161.80ms| tok/sec 85086.83
step   81 | loss: 6.653848| lr 5.9998e-04  |norm: 0.4509 | dt: 6125.08ms| tok/sec 85596.88
step   82 | loss: 6.608885| lr 5.9998e-04  |norm: 0.5907 | dt: 6146.48ms| tok/sec 85298.84
step   83 | loss: 6.565708| lr 5.9998e-04  |norm: 0.4200 | dt: 6107.33ms| tok/sec 85845.66
step   84 | loss: 6.587653| lr 5.9998e-04  |norm: 0.5611 | dt: 6112.54ms| tok/sec 85772.52
step   85 | loss: 6.550837| lr 5.9998e-04  |norm: 0.5579 | dt: 6160.21ms| tok/sec 85108.84
step   86 | loss: 6.540529| lr 5.9998e-04  |norm: 0.3864 | dt: 6186.26ms| tok/sec 84750.36
step   87 | loss: 6.574889| lr 5.9998e-04  |norm: 0.4365 | dt: 6110.06ms| tok/sec 85807.36
step   88 | loss: 6.567141| lr 5.9997e-04  |norm: 0.4330 | dt: 6132.34ms| tok/sec 85495.63
step   89 | loss: 6.605145| lr 5.9997e-04  |norm: 0.3677 | dt: 6129.49ms| tok/sec 85535.36
step   90 | loss: 6.526438| lr 5.9997e-04  |norm: 0.4129 | dt: 6321.69ms| tok/sec 82934.75
step   91 | loss: 6.533899| lr 5.9997e-04  |norm: 0.3084 | dt: 6241.29ms| tok/sec 84003.15
step   92 | loss: 6.591280| lr 5.9997e-04  |norm: 0.4878 | dt: 6257.26ms| tok/sec 83788.80
step   93 | loss: 6.664535| lr 5.9997e-04  |norm: 0.4032 | dt: 6225.79ms| tok/sec 84212.23
step   94 | loss: 6.675069| lr 5.9997e-04  |norm: 0.4577 | dt: 6307.13ms| tok/sec 83126.18
step   95 | loss: 6.659360| lr 5.9997e-04  |norm: 0.2831 | dt: 6224.19ms| tok/sec 84233.98
step   96 | loss: 6.620810| lr 5.9997e-04  |norm: 0.3769 | dt: 6270.55ms| tok/sec 83611.21
step   97 | loss: 6.582408| lr 5.9997e-04  |norm: 0.3823 | dt: 6163.70ms| tok/sec 85060.64
step   98 | loss: 6.629693| lr 5.9997e-04  |norm: 0.4875 | dt: 6250.30ms| tok/sec 83882.06
step   99 | loss: 6.591499| lr 5.9997e-04  |norm: 0.4734 | dt: 6011.28ms| tok/sec 87217.37
validation loss: 6.5802
step  100 | loss: 6.625144| lr 5.9997e-04  |norm: 0.4707 | dt: 7298.69ms| tok/sec 71833.21
step  101 | loss: 6.572891| lr 5.9997e-04  |norm: 0.5021 | dt: 6143.75ms| tok/sec 85336.75
step  102 | loss: 6.549287| lr 5.9997e-04  |norm: 0.3493 | dt: 6345.18ms| tok/sec 82627.71
step  103 | loss: 6.468025| lr 5.9996e-04  |norm: 0.4754 | dt: 6216.69ms| tok/sec 84335.59
step  104 | loss: 6.560232| lr 5.9996e-04  |norm: 0.3982 | dt: 6317.37ms| tok/sec 82991.55
step  105 | loss: 6.563981| lr 5.9996e-04  |norm: 0.4055 | dt: 6245.61ms| tok/sec 83945.06
step  106 | loss: 6.521597| lr 5.9996e-04  |norm: 0.3842 | dt: 6228.80ms| tok/sec 84171.53
step  107 | loss: 6.476769| lr 5.9996e-04  |norm: 0.3062 | dt: 6189.02ms| tok/sec 84712.63
step  108 | loss: 6.535665| lr 5.9996e-04  |norm: 0.3651 | dt: 6260.86ms| tok/sec 83740.51
step  109 | loss: 6.537892| lr 5.9996e-04  |norm: 0.3344 | dt: 6295.10ms| tok/sec 83285.08
step  110 | loss: 6.498207| lr 5.9996e-04  |norm: 0.5299 | dt: 6226.59ms| tok/sec 84201.47
step  111 | loss: 6.484227| lr 5.9996e-04  |norm: 0.6364 | dt: 6289.66ms| tok/sec 83357.14
step  112 | loss: 6.466566| lr 5.9996e-04  |norm: 0.7713 | dt: 6283.22ms| tok/sec 83442.57
step  113 | loss: 6.506576| lr 5.9996e-04  |norm: 0.7115 | dt: 6208.67ms| tok/sec 84444.54
step  114 | loss: 6.517719| lr 5.9996e-04  |norm: 0.4763 | dt: 6102.40ms| tok/sec 85915.11
step  115 | loss: 6.482545| lr 5.9996e-04  |norm: 0.5888 | dt: 6167.54ms| tok/sec 85007.61
step  116 | loss: 6.428562| lr 5.9995e-04  |norm: 0.4633 | dt: 6079.60ms| tok/sec 86237.25
step  117 | loss: 6.371435| lr 5.9995e-04  |norm: 0.5453 | dt: 6113.51ms| tok/sec 85758.86
step  118 | loss: 6.390231| lr 5.9995e-04  |norm: 0.4906 | dt: 6070.41ms| tok/sec 86367.88
step  119 | loss: 6.422191| lr 5.9995e-04  |norm: 0.4437 | dt: 6206.17ms| tok/sec 84478.52
step  120 | loss: 6.397726| lr 5.9995e-04  |norm: 0.3726 | dt: 6085.07ms| tok/sec 86159.76
step  121 | loss: 6.367677| lr 5.9995e-04  |norm: 0.4553 | dt: 5958.27ms| tok/sec 87993.39
step  122 | loss: 6.370808| lr 5.9995e-04  |norm: 0.4580 | dt: 6038.41ms| tok/sec 86825.53
step  123 | loss: 6.377518| lr 5.9995e-04  |norm: 0.4117 | dt: 6007.23ms| tok/sec 87276.13
step  124 | loss: 6.380224| lr 5.9995e-04  |norm: 0.2820 | dt: 6233.76ms| tok/sec 84104.64
step  125 | loss: 6.374594| lr 5.9995e-04  |norm: 0.3840 | dt: 6257.17ms| tok/sec 83789.91
step  126 | loss: 6.361753| lr 5.9995e-04  |norm: 0.2804 | dt: 6213.66ms| tok/sec 84376.69
step  127 | loss: 6.336629| lr 5.9995e-04  |norm: 0.3383 | dt: 6230.45ms| tok/sec 84149.23
step  128 | loss: 6.289654| lr 5.9994e-04  |norm: 0.2975 | dt: 6186.99ms| tok/sec 84740.39
step  129 | loss: 6.285048| lr 5.9994e-04  |norm: 0.3734 | dt: 5979.39ms| tok/sec 87682.45
step  130 | loss: 6.333031| lr 5.9994e-04  |norm: 0.2910 | dt: 5971.71ms| tok/sec 87795.23
step  131 | loss: 6.308724| lr 5.9994e-04  |norm: 0.3658 | dt: 5971.51ms| tok/sec 87798.17
step  132 | loss: 6.314943| lr 5.9994e-04  |norm: 0.3440 | dt: 5971.39ms| tok/sec 87799.94
step  133 | loss: 6.241290| lr 5.9994e-04  |norm: 0.4564 | dt: 5951.98ms| tok/sec 88086.28
step  134 | loss: 6.245568| lr 5.9994e-04  |norm: 0.4634 | dt: 5947.92ms| tok/sec 88146.47
step  135 | loss: 6.289151| lr 5.9994e-04  |norm: 0.3408 | dt: 5955.89ms| tok/sec 88028.44
step  136 | loss: 6.285636| lr 5.9994e-04  |norm: 0.4632 | dt: 5966.89ms| tok/sec 87866.15
step  137 | loss: 6.301795| lr 5.9994e-04  |norm: 0.4318 | dt: 5949.38ms| tok/sec 88124.86
step  138 | loss: 6.247244| lr 5.9994e-04  |norm: 0.4846 | dt: 6002.85ms| tok/sec 87339.83
step  139 | loss: 6.364865| lr 5.9993e-04  |norm: 0.6535 | dt: 5990.60ms| tok/sec 87518.51
step  140 | loss: 6.479214| lr 5.9993e-04  |norm: 0.7082 | dt: 5963.21ms| tok/sec 87920.40
step  141 | loss: 6.377317| lr 5.9993e-04  |norm: 0.6549 | dt: 6029.65ms| tok/sec 86951.66
step  142 | loss: 6.413267| lr 5.9993e-04  |norm: 0.6083 | dt: 5981.03ms| tok/sec 87658.55
step  143 | loss: 6.359419| lr 5.9993e-04  |norm: 0.5291 | dt: 5972.80ms| tok/sec 87779.27
step  144 | loss: 6.354948| lr 5.9993e-04  |norm: 0.4888 | dt: 5951.86ms| tok/sec 88088.13
step  145 | loss: 6.351972| lr 5.9993e-04  |norm: 0.4552 | dt: 5994.72ms| tok/sec 87458.35
step  146 | loss: 6.368782| lr 5.9993e-04  |norm: 0.4164 | dt: 5954.53ms| tok/sec 88048.61
step  147 | loss: 6.366471| lr 5.9993e-04  |norm: 0.3584 | dt: 5959.69ms| tok/sec 87972.33
step  148 | loss: 6.366081| lr 5.9993e-04  |norm: 0.3240 | dt: 6054.12ms| tok/sec 86600.18
step  149 | loss: 6.341445| lr 5.9992e-04  |norm: 0.3578 | dt: 6046.06ms| tok/sec 86715.63
step  150 | loss: 6.348715| lr 5.9992e-04  |norm: 0.2974 | dt: 6158.22ms| tok/sec 85136.25
step  151 | loss: 6.269885| lr 5.9992e-04  |norm: 0.3271 | dt: 6150.58ms| tok/sec 85242.10
step  152 | loss: 6.302099| lr 5.9992e-04  |norm: 0.3509 | dt: 6016.42ms| tok/sec 87142.88
step  153 | loss: 6.356447| lr 5.9992e-04  |norm: 0.3222 | dt: 5997.84ms| tok/sec 87412.86
step  154 | loss: 6.271471| lr 5.9992e-04  |norm: 0.3224 | dt: 6396.50ms| tok/sec 81964.84
step  155 | loss: 6.242052| lr 5.9992e-04  |norm: 0.3435 | dt: 6051.28ms| tok/sec 86640.86
step  156 | loss: 6.280457| lr 5.9992e-04  |norm: 0.3554 | dt: 5964.12ms| tok/sec 87907.04
step  157 | loss: 6.349042| lr 5.9992e-04  |norm: 0.4276 | dt: 6105.34ms| tok/sec 85873.74
step  158 | loss: 6.357686| lr 5.9991e-04  |norm: 0.3986 | dt: 6042.99ms| tok/sec 86759.75
step  159 | loss: 6.275847| lr 5.9991e-04  |norm: 0.3810 | dt: 6307.91ms| tok/sec 83116.00
step  160 | loss: 6.224185| lr 5.9991e-04  |norm: 0.5338 | dt: 6247.06ms| tok/sec 83925.54
step  161 | loss: 6.311667| lr 5.9991e-04  |norm: 0.5852 | dt: 6253.41ms| tok/sec 83840.34
step  162 | loss: 6.223500| lr 5.9991e-04  |norm: 0.5118 | dt: 6188.90ms| tok/sec 84714.19
step  163 | loss: 6.174459| lr 5.9991e-04  |norm: 0.3499 | dt: 6014.71ms| tok/sec 87167.67
step  164 | loss: 6.200997| lr 5.9991e-04  |norm: 0.4614 | dt: 5980.61ms| tok/sec 87664.67
step  165 | loss: 6.233356| lr 5.9991e-04  |norm: 0.3864 | dt: 6011.85ms| tok/sec 87209.15
step  166 | loss: 6.100923| lr 5.9991e-04  |norm: 0.3995 | dt: 6005.29ms| tok/sec 87304.32
